"cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength","ti_le_nuoc_ximang","log_strength"
141.3,212,0,203.5,0,971.8,748.5,28,29.89,1.44,3.43043250693049
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.937,3.19908119754002
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.75,3.40850395684459
266,114,0,228,0,932,670,28,45.85,0.857,3.84695100868443
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,1.249,2.95958682691764
255,0,0,192,0,889.8,945,90,21.86,0.753,3.12938865836666
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75,1.22,2.81839825827108
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.75,3.62806731471718
296,0,0,192,0,1085,765,28,21.65,0.649,3.12015985192904
155,184,143,194,9,880,699,28,28.99,1.252,3.40086399276092
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,1.103,3.62033291157883
173,116,0,192,0,946.8,856.8,3,6.94,1.11,2.07191327525904
385,0,0,186,0,966,763,14,27.92,0.483,3.36453339729056
237.5,237.5,0,228,0,932,594,7,26.26,0.96,3.30542042626839
167,187,195,185,7,898,636,28,23.89,1.108,3.2144661163795
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97,0.85,3.93123722435195
237.5,237.5,0,228,0,932,594,28,30.08,0.96,3.43656452549945
336,0,0,182,3,986,817,28,44.86,0.542,3.82559327742976
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,0.85,2.77508560243837
312.7,0,0,178.1,8,999.7,822.2,28,25.1,0.57,3.26193531432865
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.85,2.66444656362008
228,342.1,0,185.7,0,955.8,674.3,7,21.92,0.814,3.13200989184654
236,157,0,192,0,972.6,749.1,7,20.42,0.814,3.0643250650196
132,207,161,179,5,867,736,28,33.3,1.356,3.53514535417189
331,0,0,192,0,1025,821,28,31.74,0.58,3.48859757194299
310,143,0,168,10,914,804,28,45.3,0.542,3.83514196109219
304,76,0,228,0,932,670,90,49.19,0.75,3.91581580366684
