"","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength","ti_le_nuoc_ximang","log_strength"
"cement",1,-0.275215911030323,-0.397467340806899,-0.0815867484641084,0.0923861727537802,-0.109348994124901,-0.222717848665587,0.0819460238718219,0.497831919324157,-0.879164678675497,0.468391591172381
"slag",-0.275215911030323,1,-0.323579900506386,0.107252027211093,0.0432704187610415,-0.283998611959215,-0.281602670614194,-0.0442460193044543,0.134829261497406,0.357327805217354,0.100461775229986
"ash",-0.397467340806899,-0.323579900506386,1,-0.256984022865149,0.377503145901369,-0.00996082784226235,0.0791084909649978,-0.154370516067928,-0.105754916297313,0.24601960677279,-0.0558933778323888
"water",-0.0815867484641084,0.107252027211093,-0.256984022865149,1,-0.657532907628448,-0.182293601861435,-0.450661174130015,0.277618221521006,-0.289633384985305,0.332957823643462,-0.244501114584257
"superplastic",0.0923861727537802,0.0432704187610415,0.377503145901369,-0.657532907628448,1,-0.265999148186287,0.222691229913187,-0.192700028043472,0.36607882718852,-0.223183856953951,0.343184422414767
"coarseagg",-0.109348994124901,-0.283998611959215,-0.00996082784226235,-0.182293601861435,-0.265999148186287,1,-0.178480957423324,-0.0030158803467435,-0.16493461446011,-0.0342825240617557,-0.15893435266515
"fineagg",-0.222717848665587,-0.281602670614194,0.0791084909649978,-0.450661174130015,0.222691229913187,-0.178480957423324,1,-0.156094702647587,-0.167241247290058,0.0666325388988298,-0.192226756347621
"age",0.0819460238718219,-0.0442460193044543,-0.154370516067928,0.277618221521006,-0.192700028043472,-0.0030158803467435,-0.156094702647587,1,0.328873000779986,-0.0292619741142617,0.343873580085887
"strength",0.497831919324157,0.134829261497406,-0.105754916297313,-0.289633384985305,0.36607882718852,-0.16493461446011,-0.167241247290058,0.328873000779986,1,-0.500686572614663,0.950198888873126
"ti_le_nuoc_ximang",-0.879164678675497,0.357327805217354,0.24601960677279,0.332957823643462,-0.223183856953951,-0.0342825240617557,0.0666325388988298,-0.0292619741142617,-0.500686572614663,1,-0.494353808878777
"log_strength",0.468391591172381,0.100461775229986,-0.0558933778323888,-0.244501114584257,0.343184422414767,-0.15893435266515,-0.192226756347621,0.343873580085887,0.950198888873126,-0.494353808878777,1
